,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
0,50X/BCH,50x,130.26,0.0,575.94,-,50X,BCH
1,AAVE/BNB,Binance,702559.0,0.04,49522.34,63039.63,AAVE,BNB
2,ADA-9F4/BUSD-BD1,Binance DEX,527613.0,0.02,33154.47,91726.31,ADA-9F4,BUSD-BD1
3,ADA/AUD,Binance,3938066.0,0.12,156072.36,149816.95,ADA,AUD
4,ADA/AUD,Kraken,64819.0,0.0,9381.56,8335.31,ADA,AUD
5,ADA/BIDR,Binance,1024722.0,0.03,84217.45,32331.97,ADA,BIDR
6,ADA/BNB,Binance,7108474.0,0.21,250026.97,335245.32,ADA,BNB
7,ADA/BNB,Binance,7100288.0,0.35,252968.69,339975.63,ADA,BNB
8,ADA/BRL,Binance,5947427.0,0.18,161855.55,116721.07,ADA,BRL
9,ADA/BTC,Binance,125927090.0,3.79,1332983.34,1018163.83,ADA,BTC
10,ADA/BTC,Coinbase Exchange,26155322.0,0.79,579208.25,641680.97,ADA,BTC
11,ADA/BTC,Coinbase Exchange,26116306.0,0.07,552740.14,601579.67,ADA,BTC
12,ADA/BTC,Huobi Global,13054532.0,0.39,268136.37,333334.87,ADA,BTC
13,ADA/BTC,Huobi Global,13041502.0,0.03,295839.87,269555.76,ADA,BTC
14,ADA/BTC,OKEx,7076975.0,0.21,262456.68,294540.27,ADA,BTC
15,ADA/BTC,Bittrex,5906554.0,0.18,936434.29,1049366.83,ADA,BTC
16,ADA/BTC,KuCoin,4073830.0,0.12,269119.74,325720.35,ADA,BTC
17,ADA/BTC,Bitfinex,2849693.0,0.09,766585.04,899581.48,ADA,BTC
18,ADA/BTC,Binance.US,2845596.0,0.09,593687.52,593414.07,ADA,BTC
19,ADA/BTC,Dex-Trade,1704477.0,0.05,81891.18,87964.6,ADA,BTC
20,ADA/BTC,EXMO,1532673.0,0.05,86761.7,107243.88,ADA,BTC
21,ADA/BTC,AscendEX (Bitmax),1092713.0,0.03,57572.23,127539.48,ADA,BTC
22,ADA/BTC,Gate.io,318619.0,0.01,46829.31,68970.17,ADA,BTC
23,ADA/BTC,ZB.COM,49631.0,0.0,19420.92,26514.85,ADA,BTC
24,ADA/BTC,WazirX,5127.0,0.0,16143.85,16701.55,ADA,BTC
25,ADA/BUSD,Binance,122969920.0,3.7,1275454.77,1174061.32,ADA,BUSD
26,ADA/BUSD,PancakeSwap (V2),52731.0,0.0,-,-,ADA,BUSD
27,ADA/CAKE,PancakeSwap (V2),51653.0,0.0,-,-,ADA,CAKE
