Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Binance,SOL/BTC,53901.32,991172.28,936123.48,118685846.0,0.31,High,569.0,Recently,SOL,BTC
Binance,DOT/BTC,53901.32,554831.49,578901.81,110684967.0,0.29,High,787.0,Recently,DOT,BTC
Binance.US,BTC/USD,53965.77,2727239.35,4209666.41,110334143.0,0.29,High,636.0,Recently,BTC,USD
FTX US,BTC/USDT,53913.13,31821302.26,39326146.58,97130749.0,0.25,High,766.0,Recently,BTC,USDT
Binance,BNB/BTC,53901.32,1072604.87,1133961.53,90691348.0,0.24,High,652.0,Recently,BNB,BTC
Gemini,BTC/USD,53974.4,5394785.06,12846606.83,90480363.0,0.24,High,628.0,Recently,BTC,USD
Binance,BTC/USDC,53928.84,2829094.42,2124065.51,88076078.0,0.23,High,905.0,Recently,BTC,USDC
Coinbase Exchange,BTC/EUR,53838.22,1356154.68,1781334.74,84395212.0,0.22,High,642.0,Recently,BTC,EUR
Liquid,BTC/JPY,53963.38,1959940.23,1380565.37,82094910.0,0.21,High,441.0,Recently,BTC,JPY
Binance,LUNA/BTC,53949.4,452486.85,712449.87,77329136.0,0.2,High,741.0,Recently,LUNA,BTC
Coinbase Exchange,ETH/BTC,53901.32,4053079.13,3312569.82,65208404.0,0.17,High,572.0,Recently,ETH,BTC
Binance,DOGE/BTC,53949.4,972872.76,1185595.48,62274190.0,0.16,High,722.0,Recently,DOGE,BTC
Bitstamp,BTC/EUR,53897.3,4330183.43,2990937.56,58697629.0,0.15,High,370.0,Recently,BTC,EUR
Binance,BTCST/BTC,53901.32,68925.37,14751.55,56414207.0,0.15,High,890.0,Recently,BTCST,BTC
Coinbase Exchange,BTC/GBP,53926.99,3555568.67,1428105.35,52129020.0,0.14,High,498.0,Recently,BTC,GBP
Bitfinex,BTC/UST,53939.12,8645215.91,16199680.59,51752432.0,0.14,High,628.0,Recently,BTC,UST
Binance,AVAX/BTC,53901.32,382829.6,639740.46,47543551.0,0.12,High,748.0,Recently,AVAX,BTC
Gate.io,BTC/USD,53936.0,195159.66,273006.11,46527498.0,0.12,High,299.0,Recently,BTC,USD
Binance,XRP/BTC,53949.4,739386.15,963273.79,45042430.0,0.12,High,868.0,Recently,XRP,BTC
Poloniex,BTC/USDT,53965.97,1167189.01,1560565.96,40604518.0,0.11,High,520.0,Recently,BTC,USDT
